,Player,Team,Age,GP,W,L,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
297,DaQuan Jeffries,CHA,27,13,2,11,17.7,5.9,2.2,4.7,47.5,1.1,2.6,41.2,0.4,0.5,83.3,0.9,2.2,3.2,0.8,0.5,0.6,0.4,1.7,13.4,0,0,-1.6
298,Jaylin Williams,OKC,22,18,15,3,16.2,5.9,2.2,5.2,41.5,1.3,3.7,36.4,0.2,0.2,100,1.2,3.6,4.8,2.2,0.7,0.4,0.6,1.7,17.3,1,0,2.2
299,Talen Horton-Tucker,CHI,24,40,13,27,11.5,5.9,2.1,4.6,45.7,0.8,2,38.3,0.9,1.2,72.9,0.4,1.4,1.7,1.3,0.7,0.4,0.2,1,11,0,0,-0.3
300,Nick Smith Jr.,CHA,20,26,7,19,15.5,5.8,2.3,6.3,36.2,1.2,3.7,31.6,0.2,0.2,80,0.2,1.7,1.8,1.6,0.8,0.3,0.2,0.8,11,0,0,-3
301,Precious Achiuwa,NYK,25,27,19,8,19,5.8,2.5,4.7,54,0.3,0.6,41.2,0.5,1,51.9,1.7,3.6,5.3,1,0.8,0.9,0.8,1.4,17.9,1,0,1.6
302,Drew Eubanks,UTA,27,36,8,28,15.4,5.8,2.4,3.9,60.3,0.1,0.1,60,1,1.6,63.2,1.1,3.6,4.7,1.2,0.9,0.3,0.9,1.3,15.8,0,0,-2.9
303,Isaiah Wong,CHA,24,15,2,13,12.8,5.8,1.9,5,37.3,0.5,1.7,32,1.5,2.1,71.9,0.9,0.9,1.8,1.3,0.9,0.6,0,0.9,10.9,0,0,0.3
304,Jeremiah Robinson-Earl,NOP,24,39,11,28,18.3,5.8,2.2,5,44.6,0.7,2.3,30,0.6,0.7,86.2,1.8,3.1,4.8,1.3,0.7,0.7,0.2,1.3,15.5,2,0,-3.4
305,Kevin Love,MIA,36,18,11,7,11.1,5.8,1.9,5.5,35.4,1.2,3.2,36.2,0.7,1.1,68.4,0.9,3.2,4.2,1.1,0.7,0.8,0.1,0.9,14.3,0,0,-0.1
306,Robert Williams III,POR,27,17,6,11,17.3,5.8,2.4,3.7,65.1,0.1,0.2,33.3,0.9,1,88.2,1.8,3.9,5.7,1,0.9,0.6,1.7,1.5,20.3,0,0,-3
307,Isaac Okoro,CLE,24,28,24,4,19.7,5.8,2,4.7,42.7,1.1,2.8,39.7,0.6,0.9,72,0.8,1.3,2.1,1.6,0.4,0.7,0.4,2,13.5,0,0,4.8
308,Alex Caruso,OKC,30,27,22,5,19.7,5.7,2.2,5.7,38.3,1,3.3,29.2,0.3,0.4,75,0.7,2.1,2.8,2.6,0.7,1.8,0.5,1.9,19.2,0,0,6.6
308,Quenton Jackson,IND,26,18,8,10,14.1,5.7,2.2,4.2,51.3,0.5,1.3,37.5,0.8,1.2,71.4,0.6,0.9,1.5,1.7,0.6,0.5,0.3,1.8,11.8,0,0,-2.5
310,Lindy Waters III,GSW,27,37,17,20,17.6,5.6,2.1,5.5,37.6,1.3,3.9,33.6,0.2,0.3,72.7,0.4,2.1,2.6,1.1,0.5,0.6,0.3,1.5,12.5,0,0,-0.5
311,Kenrich Williams,OKC,30,34,28,6,14,5.6,2.2,4.4,49.7,0.8,2.2,37.3,0.4,0.5,88.2,0.8,2.4,3.2,0.9,0.5,0.6,0.1,1.6,12.5,0,0,4.1
312,Alec Burks,MIA,33,25,14,11,16.1,5.6,1.7,4.2,41.3,1.3,3.1,42.9,0.8,1,80.8,0.3,1.7,2,1,0.4,0.5,0.2,0.6,11.2,0,0,2.7
313,Ben Sheppard,IND,23,32,20,12,20.6,5.5,2,4.9,40.4,1.3,3.4,37.3,0.3,0.3,90,0.6,1.8,2.5,1.1,0.4,0.6,0.3,2.3,12.2,0,0,-0.9
314,Seth Curry,CHA,34,37,11,26,13.6,5.5,2.1,4.2,48.7,1,2.2,46.9,0.4,0.4,86.7,0.4,1,1.4,0.5,0.4,0.4,0.1,0.9,9.2,0,0,-1.2
315,Jamison Battle,TOR,23,34,10,24,12.6,5.5,1.9,4.2,45.8,1.3,3.1,41.5,0.4,0.4,85.7,0.6,1.3,1.8,0.9,0.4,0.1,0.1,1.1,9.4,0,0,-2.6
316,Isaiah Collier,UTA,20,37,8,29,21.8,5.5,2.2,5.9,37.3,0.4,1.9,21.1,0.7,1.1,62.5,0.4,2.5,2.8,5,2.7,0.8,0.2,2.1,16.7,2,0,-3.3
317,Isaiah Stewart,DET,23,43,20,23,20.3,5.4,2.2,4.3,52.2,0.2,0.8,24.2,0.8,1,82.9,2,3.8,5.8,1.7,0.9,0.4,1.3,2.6,19.3,2,0,-1.1
318,Jamal Shead,TOR,22,43,15,28,16.6,5.4,2.1,5,41.2,0.8,2.2,35.4,0.5,0.7,75,0.3,0.9,1.1,3.4,1.5,0.6,0.1,1.7,12.5,1,0,-3.4
319,Donovan Clingan,POR,20,34,13,21,16.6,5.4,2.2,4.2,52.8,0.2,0.6,27.3,0.7,1,73.5,2.8,3.9,6.6,0.8,1.2,0.5,1.6,2.6,19.5,2,0,-0.8
319,Kyle Anderson,GSW,31,34,18,16,15.1,5.4,2.1,4.8,45.1,0.6,1.5,37.3,0.5,0.8,66.7,0.8,2.3,3.1,2.3,0.5,0.8,0.5,1.1,15.8,0,0,-2
321,Vince Williams Jr.,MEM,24,3,1,2,14.9,5.3,2.3,6.3,36.8,0.3,2.7,12.5,0.3,1.3,25,1.3,2.3,3.7,3,2.3,0,0.7,3,13.9,0,0,4.7
322,Kobe Bufkin,ATL,21,10,6,4,12.4,5.3,1.8,4.7,38.3,0.4,1.9,21.1,1.3,1.8,72.2,0.5,1.6,2.1,1.7,0.8,0.3,0.2,0.9,11.1,0,0,-2.3
323,Rob Dillingham,MIN,20,22,12,10,10.5,5.2,2.1,4.4,49,0.8,1.7,48.6,0.1,0.2,50,0.2,0.9,1.1,1.9,1.2,0.2,0,0.8,8.7,0,0,-0.6
324,Jaxson Hayes,LAL,24,24,14,10,16.3,5.2,2,3.1,64.9,0,0.1,0,1.2,1.5,75.7,1.3,2.5,3.8,0.8,0.6,0.4,0.8,2,13.9,0,0,-1.1
324,Monté Morris,PHX,29,36,18,18,13.4,5.2,1.8,4.3,42.6,0.6,1.8,30.3,0.9,1.1,85,0.3,1.3,1.5,1.7,0.4,0.4,0.1,0.5,10.6,0,0,1.6
326,Trevelin Queen,ORL,27,20,8,12,16.3,5.2,2,5,39.4,0.8,2.6,30.8,0.5,0.6,81.8,0.8,0.9,1.7,1.5,0.9,1.1,0.4,1.6,13,0,0,-3.5
327,Matas Buzelis,CHI,20,46,20,26,13,5.1,1.8,4.6,39.4,0.8,2.3,34.6,0.7,0.8,82.1,0.6,2.1,2.7,0.4,0.6,0.2,0.8,1.4,11.5,0,0,0.1
