,Player,Team,Age,GP,W,L,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
1,Shai Gilgeous-Alexander,OKC,26,44,37,7,34.4,32.1,11.3,21.4,52.8,2,5.7,35.1,7.5,8.3,90.6,0.9,4.4,5.3,6,2.7,2.1,1.1,2.2,54.2,4,0,12.4
2,Giannis Antetokounmpo,MIL,30,39,23,16,34.9,31.7,12.7,20.8,60.8,0.1,0.7,14.3,6.3,10.8,58.3,2.2,9.9,12.2,5.8,3.5,0.7,1.3,2.4,57.8,35,5,4.1
3,Nikola Jokić,DEN,29,41,26,15,36.3,29.7,11.3,20,56.7,2,4.3,47.2,5,6.1,81.3,3.2,9.7,12.9,10.1,3.1,1.8,0.7,2,64.6,34,21,9
4,LaMelo Ball,CHA,23,31,11,20,33.3,28.2,9.7,23.3,41.9,4.1,12.3,33.7,4.5,5.5,82,1,4.3,5.3,7.3,3.7,1.4,0.3,3.5,46.8,8,0,-1.8
5,Luka Dončić,DAL,25,22,13,9,35.7,28.1,9.8,21.2,46.4,3.4,9.6,35.4,5.1,6.6,76.7,0.7,7.6,8.3,7.8,3.4,2,0.4,2.6,53.7,10,3,7.6
6,Kevin Durant,PHX,36,36,23,13,36.2,27.3,9.9,18.8,52.7,2.3,5.8,40.2,5.2,6.2,83,0.4,5.8,6.3,4.2,3.1,0.8,1.4,1.7,44.6,3,0,0.3
7,Tyrese Maxey,PHI,24,39,18,21,37.9,27.1,9.4,21.5,43.8,3.2,9.6,33.7,5,5.8,87.1,0.3,3.2,3.5,6,2.4,1.9,0.4,2.2,44.9,7,1,-0.6
8,Jayson Tatum,BOS,26,45,31,14,36.3,26.7,8.9,19.8,45.1,3.5,10.1,35,5.3,6.6,80.3,0.6,8.4,9,5.4,2.8,1.2,0.5,2.2,48,20,1,7.8
9,Anthony Edwards,MIN,23,47,26,21,36.7,26.4,9,20.3,44.4,4.1,9.8,41.8,4.3,5.2,82.9,0.7,4.9,5.7,4.4,3.4,1.2,0.6,1.9,41.8,2,0,3
10,Jalen Brunson,NYK,28,47,31,16,35.2,25.9,8.9,18.2,49.1,2.4,5.9,40.5,5.6,6.9,81.7,0.4,2.5,2.9,7.5,2.3,0.9,0.1,2.2,41.3,10,0,4.5
11,Anthony Davis,LAL,31,42,24,18,34.3,25.7,9.5,18,52.8,0.7,2.2,29.8,6,7.6,78.8,2.8,9,11.9,3.4,2.2,1.3,2.1,2,53.1,32,0,0.5
12,Devin Booker,PHX,28,41,23,18,37,25.5,8.4,18.9,44.4,2.7,7.8,34.1,6.1,6.8,89.3,1,3,4,6.7,2.6,1.2,0.3,2.3,42.2,6,0,-0.3
13,Damian Lillard,MIL,34,38,22,16,36.4,25.3,7.8,17.3,45.2,3.4,8.9,38.2,6.2,6.8,92.2,0.5,4.1,4.7,7.3,2.9,1.2,0.2,1.8,43.3,9,2,1.5
14,De'Aaron Fox,SAC,27,44,21,23,37.1,25.1,9.2,19.7,46.8,2,6.3,32.1,4.6,5.6,82.9,1,4,5,6.2,3,1.5,0.5,2.7,43.2,7,0,1
15,Cade Cunningham,DET,23,43,22,21,35.6,25,9.4,20.7,45.4,2.3,6.3,36,3.9,4.7,82.7,0.9,5.5,6.4,9.3,4.6,0.9,0.8,2.8,47.2,20,7,0.1
16,Cam Thomas,BKN,23,19,8,11,32.3,24.7,7.9,17.7,44.8,2.8,7.6,37.5,5.9,6.8,87.6,0.5,3.1,3.6,3.4,2.7,0.7,0.1,1.9,33.7,0,0,-2.7
17,Franz Wagner,ORL,23,28,17,11,33,24.7,8.9,19.3,46.2,2,6.4,31.7,4.9,5.6,87.2,0.9,4.7,5.6,5.4,2.5,1.5,0.5,2.3,43,2,0,4.4
18,Karl-Anthony Towns,NYK,29,43,30,13,34.5,24.6,8.9,16.5,54,2,4.7,42.4,4.9,5.8,83.9,3.1,10.7,13.7,3.4,2.5,1,0.8,3.4,49.1,38,0,7.3
19,Victor Wembanyama,SAS,21,39,18,21,33.2,24.4,9,18.8,47.7,3.2,9,35.5,3.3,3.9,84.2,1.7,9.1,10.8,3.7,3.5,1.1,3.9,2.2,54.7,22,1,2.9
20,Joel Embiid,PHI,30,13,7,6,29.4,24.4,7.6,16.8,45.2,1.2,3.8,32.7,7.9,8.6,92,1.7,6.2,7.9,3.8,3.2,0.8,1,2.2,42,4,0,0.5
21,Kyrie Irving,DAL,32,38,23,15,35.9,24.2,8.9,18.4,48.2,2.9,7,41.9,3.4,3.8,89.7,1.1,3.5,4.6,4.9,2.3,1.2,0.3,2.1,39.5,0,0,4.2
22,Tyler Herro,MIA,25,45,23,22,35.5,24.1,8.4,17.7,47.4,3.9,9.7,40,3.4,4,86.6,0.4,5.2,5.6,5.4,2.4,0.7,0.1,1.4,38.9,7,0,0
23,Norman Powell,LAC,31,39,23,16,33.2,24,8.3,16.8,49.4,3.4,7.9,43.5,3.9,4.7,84.6,0.4,3.3,3.6,2.2,2.1,1.4,0.2,1.9,34.1,1,0,4.7
24,Zach LaVine,CHI,29,42,18,24,34.1,24,8.6,16.9,51.1,3.2,7.3,44.6,3.5,4.3,79.7,0.3,4.5,4.8,4.5,2.9,0.9,0.2,1.5,37.1,3,0,0.2
25,Donovan Mitchell,CLE,28,45,36,9,31.4,23.9,8.4,18.7,44.9,3.7,9.3,39.8,3.4,4.1,83.3,0.7,3.6,4.3,4.6,1.9,1.4,0.2,2,39.2,2,0,7.8
26,Paolo Banchero,ORL,22,14,5,9,33.5,23.9,8.1,18.4,43.8,1.9,5.6,34.6,5.9,9.1,64.6,1.4,6.5,7.9,4.9,3.4,0.6,0.8,2.2,41.4,3,0,-1.6
27,LeBron James,LAL,40,42,24,18,34.8,23.8,9.2,18,51.3,2.1,5.5,38.1,3.3,4.3,76.7,0.9,6.7,7.6,9,3.9,0.9,0.5,1.3,46.7,21,9,-2.9
28,Zion Williamson,NOP,24,13,4,9,28.5,23.6,9,17.3,52,0.2,0.8,18.2,5.5,8.5,64.5,3.2,5,8.2,5,3.3,1.2,1.2,2.9,44.7,5,0,-1.1
29,Jaylen Brown,BOS,28,41,28,13,35.5,23.2,8.6,18.9,45.3,2,6.2,31.8,4.1,5.6,73.9,1.4,4.5,6,4.8,2.6,1.2,0.3,2.5,39.6,4,0,6
30,Jaren Jackson Jr.,MEM,25,45,30,15,29.5,22.8,8.3,16.7,49.9,1.8,5.2,35.5,4.3,5.5,78.2,1.5,4.7,6.2,2.1,2.2,1.4,1.6,3.3,40.2,4,0,6.8
31,Trae Young,ATL,26,43,20,23,36,22.7,7,17.3,40.2,2.9,8.4,34.2,5.9,6.9,85.6,0.5,2.8,3.3,11.4,4.7,1.3,0.2,2,43.7,27,0,-0.1
32,Stephen Curry,GSW,36,37,17,20,31.7,22.3,7.5,17,44.3,4.3,10.6,40.3,3,3.2,93.3,0.5,4.2,4.8,6.4,3,1.1,0.5,1.2,39.3,6,0,2.8
33,Brandon Ingram,NOP,27,18,5,13,33.1,22.2,8.6,18.5,46.5,2.4,6.4,37.4,2.6,3.1,85.5,0.9,4.6,5.6,5.2,3.8,0.9,0.6,2.5,37.3,0,0,-7.1
34,CJ McCollum,NOP,33,35,10,25,33.5,22,8.3,18.4,44.9,3.1,8.3,37.2,2.4,3.4,70.6,0.7,2.9,3.7,3.9,1.7,0.8,0.5,2.3,34.6,0,0,-4.6
35,Darius Garland,CLE,25,45,36,9,30.4,21.7,7.8,15.6,49.9,3,7,42.5,3.2,3.6,88.3,0.6,2,2.5,6.8,2.4,1.1,0.2,2,36.4,4,0,6.2
36,James Harden,LAC,35,44,27,17,33.8,21.7,6.3,15.9,39.9,2.9,8.2,35.2,6.1,6.9,88.8,0.6,5.3,5.8,8.4,4.6,1.5,0.6,2.1,42.9,20,2,2.9
37,RJ Barrett,TOR,24,39,13,26,33.3,21.7,8.1,17.2,47.1,1.8,5.3,35.1,3.6,5.5,66.4,1,5.6,6.6,5.7,3.1,0.8,0.3,2.5,38.4,9,2,-2.5
38,DeMar DeRozan,SAC,35,42,22,20,35.9,21.6,8,16.6,48.5,0.9,2.7,32.7,4.6,5.4,86.2,0.6,3.2,3.8,3.6,1.4,1.2,0.4,2,35,0,0,2.8
39,Trey Murphy III,NOP,24,32,8,24,35.3,21.5,7.2,15.8,45.6,3,8.5,35.7,4,4.5,89,0.9,4.2,5.1,3,1.6,1.2,0.8,2.3,36.6,1,0,-6.4
40,Jalen Green,HOU,22,46,32,14,32.8,21.3,7.4,17.3,43,2.8,8,35.3,3.6,4.1,87.2,0.5,3.8,4.3,2.8,2.5,1,0.3,1.8,31.9,1,0,2.2
41,Brandon Miller,CHA,22,27,8,19,34.2,21,7.3,18.2,40.3,3.9,10.9,35.5,2.5,2.9,86.1,0.9,3.9,4.9,3.6,2.8,1.1,0.7,2.7,34.9,2,0,-4.6
42,Jalen Williams,OKC,23,44,36,8,32.8,21,8.1,17,47.5,1.7,5,34.7,3.2,4,79,0.8,4.8,5.5,5.2,2.3,1.8,0.8,2.5,40.9,3,0,6.7
43,Domantas Sabonis,SAC,28,44,23,21,36.3,20.9,8.2,13.5,61,1.2,2.4,48.1,3.3,4.3,77.1,4,10.6,14.5,6.6,3.1,0.6,0.4,3.5,48.3,42,8,4.3
44,Jordan Poole,WAS,25,39,6,33,31.1,20.7,6.7,16.1,41.9,3.6,9.2,39.5,3.7,4.3,86.7,0.5,2.5,3,4.9,3.4,1.6,0.5,3.2,34.4,1,0,-10.2
45,Pascal Siakam,IND,30,46,26,20,33.1,20.5,8,15,53.2,1.8,4.3,41.8,2.8,3.8,74.3,1.8,5.6,7.3,3.5,1.3,0.9,0.4,2.6,37.1,7,0,3.2
46,Ja Morant,MEM,25,28,19,9,28.4,20.3,7,15.6,44.5,1.5,4.8,30.6,4.9,6.1,81.2,0.6,3.5,4.2,7.5,3.9,1.3,0.3,1.8,37.4,9,1,6.5
47,Scottie Barnes,TOR,23,34,13,21,34.7,20.3,7.7,16.8,45.9,1.4,5.1,27.2,3.5,4.6,76.1,1.7,6.4,8.1,6.5,3.2,1.5,0.9,2.2,44,15,1,-2.5
48,Jamal Murray,DEN,27,41,23,18,36,20.1,7.5,16.4,45.7,2.1,5.7,37.3,3,3.5,86.2,0.6,3.5,4,6,2.3,1.5,0.6,1.8,37.9,4,0,3.5
49,Nikola Vučević,CHI,34,47,19,28,32.2,19.8,8.1,14.9,54.6,1.8,4.7,39.3,1.7,2.1,82,2.4,7.9,10.3,3.4,1.6,0.9,0.7,2.4,40.6,30,0,-1.9
50,Lauri Markkanen,UTA,27,34,6,28,31.8,19.7,6.4,14.9,42.6,3,8.5,34.8,4,4.6,87.3,1.7,4.4,6.1,1.8,1.4,0.8,0.3,1.7,31.7,3,0,-4.7
51,Kristaps Porziņģis,BOS,29,23,13,10,28.2,19.4,6.5,13.4,48.4,2.6,6.1,42.1,3.9,4.6,85.7,1.7,5.4,7.2,1.9,1,0.7,1.3,2.6,36,4,0,2.3
52,Cameron Johnson,BKN,28,35,14,21,32.3,19.4,6.5,13.1,49.1,3.2,7.6,41.9,3.3,3.7,89.8,0.7,3.3,4.1,2.9,1.7,0.8,0.5,1.8,30.8,1,0,-3.1
53,Alperen Sengun,HOU,22,46,32,14,31.3,19.1,7.6,15.5,49.1,0.3,1.4,22.7,3.6,5.1,70.8,3.4,7,10.4,5,2.4,1.3,0.8,2.8,43,28,3,5.3
54,Julius Randle,MIN,30,47,26,21,33,19.1,6.7,14.2,47,1.5,4.7,32.4,4.3,5.3,81.1,2.2,5.1,7.3,4.5,2.9,0.7,0.2,2.6,34.7,9,0,2.3
55,De'Andre Hunter,ATL,27,33,17,16,28.3,19.1,6.2,13.5,46.1,2.6,6.6,39.4,4.1,4.8,85.4,0.6,3.1,3.7,1.5,1.5,0.8,0.1,2.4,27,0,0,-0.8
56,Miles Bridges,CHA,26,30,9,21,31.7,19,6.8,15.7,43.5,2.1,6.8,30.4,3.3,3.8,87.6,0.9,6.6,7.5,3.6,2.1,0.7,0.6,1.6,35.5,5,0,-3
57,Jalen Johnson,ATL,23,36,18,18,35.7,18.9,7.5,15.1,50,1.2,3.9,31.2,2.6,3.5,74.6,1.7,8.3,10,5,2.9,1.6,1,1.9,43.1,20,1,1.5
58,Collin Sexton,UTA,26,43,10,33,29.1,18.6,6.7,13.9,47.9,2,4.7,41.4,3.4,3.8,89,1.1,1.8,2.9,4.1,2.5,0.7,0.1,2.2,28.1,1,0,-2.6
59,Anfernee Simons,POR,25,43,15,28,32.3,18.5,6.6,15.4,42.6,3,8.1,37.2,2.4,2.7,90.4,0.3,2.5,2.8,4.8,2.1,0.8,0.1,1.8,29.6,1,0,-4.7
60,Tyrese Haliburton,IND,24,45,26,19,34.2,18.3,6.3,13.9,45.4,2.9,8,36.7,2.7,3.2,84.7,0.6,3,3.6,8.6,1.8,1.2,0.6,1.3,39.3,15,0,1.9
61,Austin Reaves,LAL,26,40,24,16,35,18.2,6.1,13.7,44.6,2.5,7,36.1,3.5,4.2,83.8,0.8,3.4,4.2,6.1,2.4,1.1,0.2,2,33.8,6,1,1.3
62,Evan Mobley,CLE,23,41,34,7,30.1,18.2,7,12.3,57,1.1,2.8,39.8,3.1,4.1,75.4,2.1,6.9,9.1,2.8,2,0.9,1.4,2,38.4,20,0,8.1
63,Mikal Bridges,NYK,28,48,32,16,38.4,18.2,7.4,15.1,49.3,2.4,6.8,36.1,0.9,1.2,75,0.9,2.3,3.1,3.3,1.6,1,0.5,1.5,29.7,0,0,5.9
64,Coby White,CHI,24,41,16,25,32.6,18.2,6.2,14.3,43.6,3,8.2,36.2,2.8,3.1,87.6,0.3,3,3.4,4.6,2.4,1,0.2,2.3,30.3,1,0,-3.3
65,John Collins,UTA,27,28,8,20,29.8,18.1,6.6,12.5,53.1,1.5,3.3,44.6,3.3,3.8,86.9,2.4,6,8.4,2.5,2.6,1.1,0.9,2.9,35.2,9,0,-0.7
66,Malik Monk,SAC,26,39,22,17,31.9,18,6.5,14.5,44.8,2.3,7,33.3,2.6,3,87.3,0.3,3.4,3.7,5.8,2,1,0.5,2.6,33.8,3,0,3.6
67,Dejounte Murray,NOP,28,30,9,21,33.5,17.9,6.4,16.3,39.3,1.7,5.8,29.9,3.4,4.1,82.3,0.5,6,6.5,7.6,3.4,2.1,0.4,2,41.2,8,1,-6.9
68,Michael Porter Jr.,DEN,26,47,28,19,33.1,17.9,6.8,13.3,51,2.6,6.3,40.7,1.8,2.5,72.9,1.6,4.8,6.3,2.2,1.3,0.6,0.4,1.9,30.7,6,0,5
69,Desmond Bane,MEM,26,38,24,14,29.9,17.7,6.7,13.4,49.7,2.2,5.8,38.8,2.1,2.4,86,0.8,4.6,5.4,5.5,2.5,1.3,0.4,2.4,35,5,0,5.2
70,Jaden Ivey,DET,22,30,14,16,29.9,17.6,6.3,13.8,46,2.1,5.1,40.9,2.8,3.9,73.3,1.3,2.8,4.1,4,3,0.9,0.4,2.2,29.4,0,0,-2.1
71,Shaedon Sharpe,POR,21,39,15,24,31,17.3,6.5,14.6,44.3,1.9,6.1,31.4,2.5,3.1,79.5,0.7,3.3,4,2.5,1.9,0.8,0.3,1.9,27.1,0,0,-5.3
72,Andrew Wiggins,GSW,29,40,19,21,29.8,17.2,6,13.4,44.3,2.2,5.8,37.8,3.1,3.9,78.8,1.5,3.1,4.6,2.3,1.3,0.9,0.8,1.7,29.9,3,0,-1.5
73,Paul George,PHI,34,30,14,16,32,17.1,6.3,14.6,42.9,2.4,6.7,36.5,2.2,2.6,82.3,0.7,5,5.6,4.7,2.7,1.7,0.4,2.5,34.4,3,0,-0.8
74,Jimmy Butler,MIA,35,25,13,12,30.6,17,5.7,10.5,54,0.5,1.4,36.1,5.2,6.4,80.1,2.2,3,5.2,4.8,1.2,1.1,0.4,0.9,33.8,2,1,2.3
75,Bradley Beal,PHX,31,33,16,17,32.6,16.9,6.5,13.4,48.5,2,5.2,39,1.8,2.4,77.2,0.7,2.8,3.5,3.4,1.9,1.1,0.7,2.6,29.6,0,0,-4.4
76,Jonathan Kuminga,GSW,22,32,18,14,26,16.8,6.1,13.2,45.9,1.3,3.6,34.5,3.4,5.3,63.9,1.4,3.6,5,2.2,1.6,0.9,0.6,1.9,28.8,2,0,0.5
77,OG Anunoby,NYK,27,48,32,16,36.7,16.4,6.2,12.9,47.9,2.1,5.8,36,2,2.5,79.2,1.3,3.5,4.8,2,1.3,1.4,0.9,2.4,30.8,1,0,6.4
78,Bennedict Mathurin,IND,22,44,24,20,32.1,16.4,5.8,12.4,47.1,1.5,4.3,36.4,3.2,3.9,82.1,1.3,4.7,5.9,1.9,2.1,0.7,0.4,2.6,27.3,7,0,2
79,Chet Holmgren,OKC,22,10,8,2,26.5,16.4,5.6,11.1,50.5,1.4,3.7,37.8,3.8,4.9,77.6,1.6,7.1,8.7,2,2.3,0.8,2.6,1.8,37.7,4,0,9.1
80,Malik Beasley,DET,28,47,23,24,28,16.4,5.7,13.2,43.1,3.8,9.2,40.9,1.2,1.7,68.3,0.5,2.4,2.9,1.8,1.1,0.9,0,1.4,24.3,1,0,1.1
81,Devin Vassell,SAS,24,29,12,17,29.9,16.3,6.1,13.8,44.1,2.4,6.3,37.9,1.8,2.4,75.4,0.7,3,3.7,3.1,1.7,1.2,0.6,1.6,29,0,0,-6.3
82,Immanuel Quickley,TOR,25,9,1,8,28.5,16.2,5.3,14.1,37.8,2.2,6.4,34.5,3.3,3.6,93.8,0.1,2.1,2.2,6.1,1.8,0.7,0.1,1.8,28.6,2,0,-6.8
83,Jalen Suggs,ORL,23,35,20,15,28.6,16.2,5.6,13.7,41,2.2,6.9,31.4,2.8,3.1,88.2,0.7,3.4,4,3.7,2.9,1.5,0.9,2.8,30.8,0,0,0.1
84,Kawhi Leonard,LAC,33,9,7,2,23.8,16.1,6.7,13.4,49.6,1.3,4.2,31.6,1.4,1.7,86.7,0.7,3.1,3.8,2.4,1.3,1,0.2,0.8,26.6,0,0,11.3
85,Keyonte George,UTA,21,35,6,29,31.6,16.1,5.3,13.8,38.2,2.6,7.8,33.5,2.9,3.6,80.3,0.5,3.1,3.5,5.8,2.9,0.8,0.2,1.9,29,2,0,-6.7
86,Derrick White,BOS,30,45,32,13,33.7,16.1,5.5,12.7,43.5,3.3,8.9,37.1,1.8,2.1,84,1,3.3,4.3,4.1,1.6,0.9,1.2,2,32,1,0,6.9
87,Bam Adebayo,MIA,27,45,23,22,33.8,15.9,6.1,13.2,46.1,0.7,2.4,28.2,3,4.1,73,2.4,7.5,9.9,4.5,2.2,1.3,0.8,2.2,38.7,25,1,0
88,Jordan Clarkson,UTA,32,23,6,17,25.4,15.9,5.3,13,41,2,5.6,34.9,3.2,4,80.4,0.7,2.7,3.3,3.9,2.4,0.8,0.3,1.6,26.6,0,0,-6.1
89,Gradey Dick,TOR,21,40,11,29,29.8,15.7,5.4,13,41.5,2.3,6.5,34.6,2.7,3.1,88.5,0.7,2.6,3.3,2.1,1.6,0.8,0.2,2.4,24.1,0,0,-2.7
90,Myles Turner,IND,28,43,24,19,31.1,15.6,5.5,11.5,48,2.1,5.2,40,2.4,3.2,75.4,1.3,5.5,6.8,1.5,2,0.8,1.9,2.8,32.4,8,0,1.4
91,Mark Williams,CHA,23,20,4,16,24.3,15.5,6.2,10.1,60.9,0,0.1,0,3.2,4.2,75,3.3,6.1,9.4,2.5,1.1,0.7,1.2,2.7,34.9,6,0,-4.5
92,Jared McCain,PHI,20,23,7,16,25.7,15.3,5.5,11.9,46,2.2,5.8,38.3,2.1,2.4,87.5,0.6,1.9,2.4,2.6,1.6,0.7,0,1.6,22.5,1,0,-1.2
93,Ivica Zubac,LAC,27,45,27,18,31.8,15.2,6.8,11.1,61,0,0,0,1.7,2.8,58.6,3.9,8.9,12.8,2.6,1.8,0.7,1.2,2,38.3,29,0,5
94,Fred VanVleet,HOU,30,43,30,13,35.9,14.9,5.2,13.3,38.9,2.7,7.8,34.7,1.9,2.3,81.8,0.7,3.3,4,5.9,1.6,1.7,0.4,2.5,33.3,4,0,5.2
95,Deni Avdija,POR,24,44,18,26,29,14.9,5,10.7,46.9,1.5,4.4,34.7,3.4,4.4,76.8,1.3,5.3,6.6,3.4,2.5,1.1,0.6,2.2,30.5,7,0,-3.3
96,Dennis Schröder,GSW,31,44,18,26,30.3,14.9,5.3,12.6,41.9,2,5.8,35.6,2.3,2.6,87.1,0.3,2.3,2.5,5.5,2.3,1,0.1,2.6,27.3,4,0,-2.6
97,Jakob Poeltl,TOR,29,42,15,27,31.2,14.6,6.4,10.4,61.6,0,0,0,1.8,2.7,64.9,3.5,6.8,10.3,2.8,2,1.2,1.2,3.4,36.6,18,0,-2.1
98,Jerami Grant,POR,30,36,15,21,31.9,14.5,4.6,12.2,38.1,2.3,6.1,38.2,2.9,3.4,83.9,0.5,2.8,3.4,2.2,1.4,0.8,1,2.3,25.8,0,0,-5.3
99,Kyle Kuzma,WAS,29,29,2,27,27.7,14.5,5.8,13.7,42.2,1.2,4.4,27.1,1.8,3,59.3,0.9,5,5.9,2.6,2.4,0.7,0.2,1.7,25.7,3,0,-12.9
100,Christian Braun,DEN,23,46,27,19,32.4,14.3,5.5,9.7,57.4,1,2.5,37.9,2.2,2.7,82.9,1.3,3.4,4.7,2,1,1,0.6,2.2,26.6,1,0,4.6
101,P.J. Washington,DAL,26,41,25,16,32.9,14.2,5.1,11.7,43.8,1.6,4.2,37,2.4,3.3,74.6,1.6,6.7,8.2,2.4,1.9,1.2,1,2.4,32.3,12,0,3.5
102,Tre Mann,CHA,23,13,6,7,24.5,14.1,5.4,12.4,43.5,1.8,4.6,40,1.5,1.6,90.5,0.9,2,2.9,3,1.9,0.5,0.3,1.8,22.7,0,0,-4.2
103,Kelly Oubre Jr.,PHI,29,43,18,25,33.8,14.1,5.4,11.7,45.9,1.2,4.2,28.2,2.1,2.8,75,1.6,4.6,6.2,1.8,1.3,1.5,0.5,2.9,28.8,7,0,-2.8
104,Payton Pritchard,BOS,27,48,33,15,27.8,14,4.9,10.5,46.8,3.2,7.7,41.7,1,1.2,84.7,1.4,2.3,3.6,3.5,1,0.9,0.2,1.6,25.7,3,0,5.8
105,Deandre Ayton,POR,26,33,12,21,30.1,14,6.6,11.7,56.4,0.2,0.9,19.4,0.7,1.1,62.2,3,7.3,10.3,1.5,1.7,0.8,1,2.1,32.1,19,0,-6
106,Josh Hart,NYK,29,47,31,16,37.5,13.9,5.3,9.6,55.6,1.2,3.3,35.3,2.1,2.6,81.3,2.2,7.4,9.7,5.7,1.9,1.6,0.4,2.6,37.9,22,6,5
107,Malcolm Brogdon,WAS,32,18,3,15,24.8,13.8,4.8,10.8,44.3,0.8,2.7,31.3,3.4,3.9,88.6,0.9,3.1,4.1,3.9,1.7,0.6,0.3,1.4,25.4,2,0,-7.4
108,Jarrett Allen,CLE,26,47,38,9,29,13.8,5.7,8.1,70.3,0,0,0,2.5,3.4,73,2.6,7.3,10,1.9,1.1,1,0.9,1.5,33.2,26,0,6.4
109,Klay Thompson,DAL,34,41,21,20,27.4,13.8,4.9,11.8,41.7,3.1,7.8,39.6,0.9,1,90,0.6,2.8,3.4,2,1.4,0.9,0.4,1.2,23.2,0,0,3.8
110,Naz Reid,MIN,25,46,25,21,25.3,13.6,5,10.4,48.4,2.1,5.1,41.2,1.5,1.8,78.8,0.9,4.2,5.1,1.7,1.2,0.8,0.8,2.4,25.9,2,0,1.3
111,Amen Thompson,HOU,22,43,30,13,30.6,13.6,5.2,9.3,56,0.3,1.3,25,2.9,4,70.7,2.7,5.3,8.1,2.7,2,1.4,1.1,2.3,33,13,1,3.4
112,Dyson Daniels,ATL,21,42,20,22,33.7,13.5,5.7,12.3,46.6,1.1,3.7,30.8,0.9,1.5,58.7,1.8,3.5,5.3,3.7,1.9,3.1,0.8,2.5,35.1,3,0,-3.2
113,Bobby Portis,MIL,29,41,24,17,24.7,13.4,5.5,11.7,46.6,1.3,3.5,36.4,1.2,1.5,81.7,1.7,6.2,7.9,2,1.2,0.7,0.5,1.8,28.2,6,0,0.5
114,Dillon Brooks,HOU,29,43,30,13,32.2,13.3,4.8,11.7,41.5,2.3,6.1,38.4,1.3,1.5,84.6,1.2,2.5,3.7,1.5,1,0.8,0.2,3.4,22.2,0,0,4
115,Russell Westbrook,DEN,36,47,28,19,27.7,13.2,5,10.4,47.6,1.2,3.5,33.3,2.1,3.3,64.1,1.4,3.8,5.2,6.4,3,1.5,0.5,2.5,32,9,3,1.3
116,D'Angelo Russell,BKN,28,39,19,20,25.9,13,4.4,10.8,41.2,2,5.8,33.9,2.2,2.4,89.5,0.3,2.6,2.9,5.4,1.8,1,0.3,1.9,26.7,3,0,1
117,Aaron Gordon,DEN,29,26,16,10,26.3,12.9,4.5,8.6,52.7,1.2,2.8,42.5,2.6,3.3,79.1,1.6,3.4,5,2.6,1.4,0.5,0.2,1.5,23.5,2,0,4.9
118,Moritz Wagner,ORL,27,30,18,12,18.8,12.9,4.7,8.3,56.2,0.9,2.5,36,2.6,3.7,71.8,1.3,3.6,4.9,1.4,1.6,0.8,0.4,1.8,22.9,1,0,-0.6
119,Tobias Harris,DET,32,45,22,23,32,12.7,4.8,11,44,1.3,4,33.5,1.8,2,86.8,0.9,5.2,6.2,2.4,1.2,0.8,0.8,2,27.4,4,0,1.1
120,Santi Aldama,MEM,24,39,26,13,24.8,12.7,5,10.1,49.4,1.7,4.5,36.7,1.1,1.5,70.7,1.6,5.3,6.8,2.6,1.2,0.8,0.5,0.9,27.7,9,0,5.5
121,Daniel Gafford,DAL,26,46,24,22,21.3,12.7,5.1,7.3,70.4,0,0,0,2.4,3.4,70.9,2.7,4,6.7,1.3,1.2,0.4,1.8,2.7,28.1,7,0,0.5
122,Jeremy Sochan,SAS,21,25,10,15,27.8,12.6,5,9.5,53.2,0.5,1.6,29.3,2.1,2.9,71.2,2.6,5,7.6,2.6,1.8,1,0.6,2.3,28.4,6,0,-0.7
123,Ayo Dosunmu,CHI,25,37,14,23,30.4,12.4,4.8,9.9,48.5,1.4,4.1,34,1.4,1.8,78.5,0.6,3.1,3.7,4.5,1.3,0.8,0.4,2.2,25.9,1,1,-4.6
124,Bilal Coulibaly,WAS,20,42,6,36,33.1,12.3,4.4,10.6,41.7,1,3.9,26.5,2.5,3.2,76.5,1.4,3.6,5,3.4,2.1,1.3,0.8,2.5,27.5,1,0,-12.7
125,Scoot Henderson,POR,20,40,16,24,26.6,12.3,4.2,9.8,43.1,1.4,3.9,35.7,2.5,3.3,76.3,0.7,2.3,3,5.2,2.7,1.1,0.3,2.7,25.1,2,0,-4.5
126,Rui Hachimura,LAL,26,38,21,17,31.8,12.2,4.6,9.4,49.2,1.5,3.6,40.9,1.4,1.9,77.5,1.6,3.6,5.2,1.5,0.9,0.9,0.5,1.8,23.8,1,0,0.2
127,Brook Lopez,MIL,36,45,26,19,32.3,12.2,4.6,9.6,47.9,1.9,5.1,36.8,1.1,1.4,79.4,1.1,3.7,4.8,1.7,1,0.8,2,2.1,27.7,1,0,2.1
128,Terry Rozier,MIA,30,42,19,23,28.4,12.1,4.5,10.9,41,1.5,5.1,29,1.7,1.9,88.9,0.8,3.4,4.1,2.9,1.5,0.6,0.3,1.4,22.6,0,0,-1.5
129,Daeqwon Plowden,ATL,26,2,1,1,16.4,12,4,5,80,3,4,75,1,1,100,1.5,1,2.5,0,0.5,0,0,2.5,14.5,0,0,6
130,Keldon Johnson,SAS,25,41,18,23,23.9,12,4.5,9.8,46,1,3.6,28.9,1.9,2.5,76.2,1.3,3.5,4.8,1.4,0.9,0.6,0.3,1.5,21.7,2,0,-3.8
